;city;Лавленд;Loveland;55.92:21.07;;Lithuania
;city;Тарб;Tarbes;43.2332:0.0781;;France
;city;Сочи;Sochi;43.615:39.722;;Russia
;city;Нанси;Nancy;48.686:6.17;;France
;city;Элирия;Elyria;41.368:-82.106;;United States
;city;Сенкт-Питерсберг;Saint Petersburg;27.776:-82.648;;United States
;city;Фрайбург;Freiburg;47.998:7.854;Europe/Paris;Germany
;city;Дарлингтон;Darlington;54.5269:-1.554;;United Kingdom
;city;Хельсингборг;Helsingborg;56.048:12.7;;Sweden
;city;Якобстад;Pietarsaari;63.675:22.704;;Finland
;city;Агно;Agno;45.998:8.9;;Switzerland
;city;Лейк Озарк;Lake Ozark;39.198:-92.637;;United States
;city;Торнио;Tornio;65.851:24.15;;Finland
;city;Брадентон;Bradenton;27.4994:-82.5747;;United States
;city;Лефкас;Lefkas;38.8336:20.7074;;Greece
;city;Нормал;Normal;40.515:-88.99;;United States
;city;Авилес;Aviles;43.557:-5.928;;Spain
;city;Кантон;Canton;40.802:-81.379;;United States
;city;Сиуатанехо;Zihuatanejo;17.646:-101.553;;Mexico
;city;Хейстингс;Hastings;-39.638:176.84;;New Zealand
;city;Ватерлоо;Waterloo;43.481:-80.537;;Canada
;city;Гарден Хилл;Garden Hill;53.874:-94.65;;Canada
;city;Дарем;Durham;35.995:-78.898;;United States
;city;Баден-Баден;Baden-Baden;48.76:8.24;;Germany
;city;Корнинг;Corning;42.144:-77.054;;United States
;city;Лавленд;Loveland;40.399:-105.073;;United States
;city;Нижнекамск;Nizhnekamsk;55.72:52.41;Europe/Moscow;Russia
0A7;city;Хендерсонвилл;Hendersonville;35.3187279:-82.4609528;;United States
0A7;airport;;Hendersonville Airport;35.3187279:-82.4609528;;Hendersonville
AAA;airport;Анаа;Anaa;-17.36:-145.51;Pacific/Tahiti;Anaa
AAA;city;Анаа;Anaa;-17.36:-145.51;Pacific/Tahiti;French Polynesia
AAB;city;Аррабури;Arrabury;-26.69:141.05;Australia/Brisbane;Australia
AAB;airport;;Arrabury;-26.69:141.05;Australia/Brisbane;Arrabury
AAC;city;Эль-Ариш;Al Arish;31.1319:33.8032;Africa/Khartoum;Egypt
AAC;airport;;Al Arish International Airport;31.07:33.84;Africa/Khartoum;Al Arish
AAD;city;Ад-Даббах;Ad-Dabbah;17.59:33.96;Asia/Baghdad;Sudan
AAD;airport;;Ad-Dabbah;17.59:33.96;Asia/Baghdad;Ad-Dabbah
AAE;airport;;Les Salines;36.82:7.81;Africa/Algiers;Annaba
AAE;city;Аннаба;Annaba;36.902859:7.755543;Africa/Algiers;Algeria
AAF;city;Апалачикола;Apalachicola;29.7257675:-84.9832435;5;United States
AAF;airport;;Apalachicola Regional;29.7257675:-84.9832435;5;Apalachicola
AAG;city;Арапоти;Arapoti;-24.1453357:-49.8188324;America/Sao_Paulo;Brazil
AAG;airport;;Arapoti;-24.17:-49.67;America/Sao_Paulo;Arapoti
AAH;city;Ахен;Aachen;50.7754385:6.0815102;Europe/Berlin;Germany
AAH;airport;;Aachen/Merzbruck;50.82:6.19;Europe/Berlin;Aachen
AAI;city;Арраяс;Arraias;-12.9264218:-46.9351817;America/Araguaina;Brazil
AAI;airport;;Arraias;-13.03:-46.88;America/Araguaina;Arraias
AAJ;city;Аварадам;Awaradam;;-3;Suriname
AAJ;airport;;Cayana Airstrip;;-3;Awaradam
AAK;city;Аранука;Aranuka;0.1904667:173.6295222;;Kiribati
AAK;airport;;Aranuka;0.1904667:173.6295222;;Aranuka
